OrderID,OrderDate,PublisherID,Genre,Quantity,UnitPrice,Sales,State,City,Region
BM-01-424815,2024-01-23,Publisher_046,Children,3,22.28,66.84,Illinois,Joliet,Central
BM-01-419954,2024-01-22,Publisher_003,Fiction,4,33.84,135.36,Nevada,Las Vegas,West
BM-01-443348,2024-01-21,Publisher_022,Sci-Fi,7,13.88,97.16,Washington,Everett,West
BM-01-433597,2024-01-10,Publisher_051,Fiction,7,36.61,256.27,Texas,Austin,Central
BM-01-437369,2024-01-07,Publisher_005,Children,5,42.35,211.75,Massachusetts,Springfield,East
BM-01-428955,2024-01-19,Publisher_048,Fantasy,7,32.38,226.66,New York,Syracuse,East
BM-01-412717,2024-01-23,Publisher_038,History,1,30.0,30.0,New York,Albany,East
BM-01-432118,2024-01-28,Publisher_052,Children,5,32.09,160.45,Colorado,Boulder,West
BM-01-471234,2024-01-11,Publisher_034,Mystery,3,18.21,54.63,Illinois,Naperville,Central
BM-01-424124,2024-01-07,Publisher_027,Fiction,1,38.5,38.5,Massachusetts,Boston,East
BM-01-458274,2024-01-11,Publisher_052,Self-Help,5,11.07,55.35,Massachusetts,Lowell,East
BM-01-433828,2024-01-16,Publisher_021,Children,7,31.87,223.09,Nevada,Henderson,West
BM-01-450542,2024-01-08,Publisher_041,Mystery,2,36.9,73.8,Illinois,Springfield,Central
BM-01-411781,2024-01-20,Publisher_017,Fantasy,3,40.52,121.56,California,San Jose,West
BM-01-407590,2024-01-27,Publisher_008,Fantasy,5,21.41,107.05,New York,Buffalo,East
BM-01-472047,2024-01-24,Publisher_026,Mystery,4,23.85,95.4,Florida,Orlando,South
BM-01-450215,2024-01-27,Publisher_058,Fiction,1,38.17,38.17,Illinois,Joliet,Central
BM-01-472037,2024-01-08,Publisher_053,Mystery,5,11.29,56.45,Texas,San Antonio,Central
BM-01-495553,2024-01-21,Publisher_049,Mystery,4,31.63,126.52,New York,Rochester,East
BM-01-446939,2024-01-18,Publisher_025,History,3,15.89,47.67,Arizona,Chandler,West
BM-01-472641,2024-01-18,Publisher_026,History,2,34.94,69.88,Nevada,Sparks,West
BM-01-419504,2024-01-25,Publisher_010,Fiction,1,21.87,21.87,Texas,San Antonio,Central
BM-01-430603,2024-01-26,Publisher_032,History,7,29.17,204.19,Nevada,North Las Vegas,West
BM-01-428167,2024-01-24,Publisher_026,History,3,22.24,66.72,Nevada,North Las Vegas,West
BM-01-427689,2024-01-01,Publisher_020,Non-Fiction,1,40.22,40.22,California,San Jose,West
BM-01-412189,2024-01-19,Publisher_051,Fantasy,4,39.19,156.76,New York,Buffalo,East
BM-01-424110,2024-01-05,Publisher_042,Non-Fiction,4,10.13,40.52,Florida,Miami,South
BM-01-464357,2024-01-25,Publisher_006,Sci-Fi,5,30.66,153.3,California,Sacramento,West
